Zip Code,Age: 20-30,Age: 30-45,Age: 45-60,Age: 60+,Race: White,Race: Black/African American,Race: American Indian and Alaska Native,Race: Asian,Race: Hawaiian and Pacific Islander,Education: Below Middle School,Educatiohn: High School,Education: College,Education: Graduate and Above,"Income: Less than 10,000","Income: Between 10,000 to 19,999","Income: Between 20,000 to 34,999","Income: Between 35,000 to 49,999","Income: Between 50,000 to 74,999","Income: More than 75,000",Employment: Employed,Employment: Unemployed,Employment: Not In Labor Force,Insurance: 2 or More,Insurance: One,Insurance: No,Transportation: Cars,Transportation: Public,Transportation: Motor
33351,10445,11226,9857,11155,26265,20588,154,2243,17,901,11592,18940,2651,812,1248,2696,3303,3636,6559,27498,1743,12838,5986,38864,7103,24885,751,0
33355,1187,1306,1473,1225,5562,158,61,242,0,52,1132,1852,717,58,87,151,148,293,1135,3159,44,1852,615,4704,1093,2824,0,0
33359,359,648,434,171,765,832,24,84,0,53,455,201,28,91,180,147,164,77,69,1061,115,433,198,1361,584,915,66,0
33388,1887,2285,1997,1938,7038,1387,18,614,0,45,976,3684,1440,195,58,640,421,747,1788,5150,374,2536,707,8109,1191,4342,0,0
33401,4942,3489,3480,5431,11784,6917,0,589,0,406,4397,8113,2076,468,858,1342,1328,1500,2732,9970,640,6522,2984,14251,2208,8244,187,0
33402,182,339,156,475,1000,80,0,46,0,29,158,691,268,73,77,107,75,56,282,692,49,411,181,837,95,479,15,0
33403,4719,3702,4516,4246,6287,13623,0,644,0,814,6223,6743,891,636,845,1321,975,1398,1994,10758,846,5301,2659,14799,4033,9289,436,0
33404,4488,3381,4541,6930,8905,14288,2,165,0,780,8125,7000,1497,811,1330,1706,1404,1170,2281,9227,1117,8643,4586,16084,3177,7759,404,0
33405,6490,6307,6074,5231,23567,2950,13,201,0,844,6761,7740,1748,364,961,1399,1285,1681,3107,14538,1095,8089,3281,18652,5292,13169,198,37
33406,5243,4758,4507,4711,17835,3939,92,421,49,947,5632,5860,575,427,1020,1661,1435,1563,1713,11468,787,6605,2643,15754,5153,10668,252,17
33407,7796,7492,7545,7726,12650,21850,59,458,0,1051,10394,10792,2111,1121,1844,2702,1813,2874,3091,17176,2167,10816,4888,24305,7782,14891,470,43
33408,2097,2196,4250,7712,16601,319,0,330,0,189,3645,8649,2475,387,508,1378,1236,1634,3951,8434,293,7444,5022,11366,1317,6643,99,0
33409,11427,10440,8953,8434,27995,16094,105,1576,81,1180,8840,17448,2480,1383,1793,3268,3353,3279,5142,25537,1877,11106,5488,32905,9442,22298,700,107
33410,4665,6777,7069,11051,29452,2259,18,1044,20,389,6586,15783,3989,662,614,1355,1339,2713,7351,17357,630,11340,6528,24411,2831,15039,118,75
33411,9953,10512,12480,14601,42246,11111,13,2260,0,976,14505,21563,3767,794,1231,2372,1942,3871,8851,28351,1481,16959,8772,41713,5564,25943,143,88
33412,5861,5028,8360,7253,24932,4275,0,1105,0,734,8889,12575,2189,414,431,874,1004,1550,6043,15945,986,9177,4467,24116,2891,14111,108,77
33413,3804,3024,2559,2326,9043,5164,22,620,0,522,3362,3958,518,332,439,838,863,964,1191,7373,914,3168,1284,10446,3589,6560,424,0
33414,10951,11179,14272,13441,50089,8097,100,2223,0,592,9886,24489,6591,593,836,1726,1868,3607,11593,30255,1724,16613,8014,48518,6183,26630,281,0
